TRUE,Model 16,Model 15,Model 14,Model 13,Model 12,Model 11,Model 10,Model 9,Model 8,Model 7,Model 6,Model 5,Model 4,Model 3,Model 2,Model 1
0.000563518,0.0004029,0.000256759,0.000421102,0.000499785,0.000267515,0.000505277,0.000525736,0.00039894,0.000370998,0.000364532,0.000389656,0.000596762,0.000400693,0.000551849,0.000639663,0.000486502
0.00030592,0.000374534,0.000215584,0.000408926,0.000470402,0.000300615,0.000474991,0.000471468,0.000373384,0.000361109,0.00034587,0.000356698,0.000594045,0.000394935,0.00053905,0.000807067,0.000587077
0.000307223,0.00043064,0.000243152,0.000467276,0.000511169,0.000357443,0.000532266,0.000519576,0.00046401,0.000414307,0.000427759,0.000415448,0.000594566,0.000485142,0.00053382,0.000738775,0.000553993
0.000428181,0.000480979,0.000291695,0.00051553,0.000573122,0.00037234,0.000589756,0.000595238,0.000557118,0.000465998,0.000503167,0.000476762,0.000593876,0.000411574,0.000510982,0.000707891,0.000579148
0.00031227,0.000452928,0.00030663,0.000489505,0.000573145,0.000326539,0.000574955,0.000518672,0.000498788,0.000456393,0.000469924,0.000470106,0.00059017,0.000478753,0.000526237,0.000626159,0.000527821
0.000357663,0.000411348,0.000300099,0.000450438,0.000536493,0.00028033,0.000547908,0.000534831,0.00043139,0.00041336,0.000405827,0.000448323,0.000594834,0.000473019,0.000565011,0.000569601,0.000491841
0.000401453,0.000392849,0.000266169,0.000432351,0.00050696,0.00026144,0.000543286,0.000457697,0.000452372,0.000390458,0.000387429,0.00044134,0.000600676,0.000427854,0.00052917,0.000534106,0.000475742
0.000467708,0.000408208,0.000268023,0.000428684,0.000516469,0.00026829,0.000559537,0.000501581,0.000449254,0.000404623,0.000395787,0.000461258,0.000594368,0.000440651,0.000519626,0.000503265,0.000442436
0.000406603,0.000505191,0.000368282,0.000512556,0.000609896,0.00030977,0.000638339,0.000544166,0.000518662,0.000477309,0.00046315,0.00055374,0.000588107,0.000522746,0.000547363,0.00044875,0.000410248
0.000801973,0.000629881,0.000462911,0.000659276,0.000730152,0.000359716,0.000753096,0.000671103,0.000672427,0.000557343,0.000575283,0.000666809,0.00059607,0.000501187,0.00052556,0.000434806,0.000387449
0.000549382,0.000666437,0.000468657,0.000695122,0.000748857,0.000370813,0.000787041,0.000610956,0.000692751,0.000571044,0.000616985,0.000689818,0.00059211,0.000454473,0.000509847,0.000432076,0.000417505
0.000496726,0.000628226,0.000432089,0.000634708,0.000706694,0.000338073,0.000746873,0.000697063,0.000654472,0.000529793,0.00058273,0.000640492,0.000589096,0.000467834,0.000524103,0.000491185,0.000436703
